Brand;BrandNum;BrandNum-Skruvat;ArticleID;K24Number
NULL;NULL;0986479B81;NULL;NULL
NULL;NULL;0986479B93;NULL;NULL
NULL;NULL;1457070008;NULL;NULL
NULL;NULL;1457429192;NULL;NULL
NULL;NULL;1457429238;NULL;NULL
NULL;NULL;1457429249;NULL;NULL
NULL;NULL;1457429762;NULL;NULL
NULL;NULL;1987432397;NULL;NULL
NULL;NULL;1987946407;NULL;NULL
NULL;NULL;1987946471;NULL;NULL
NULL;NULL;1987948514;NULL;NULL
NULL;NULL;1987948526;NULL;NULL
NULL;NULL;1987948721;NULL;NULL
NULL;NULL;1987948727;NULL;NULL
NULL;NULL;242235666;NULL;NULL
NULL;NULL;242240593;NULL;NULL
NULL;NULL;242240620;NULL;NULL
NULL;NULL;242240653;NULL;NULL
NULL;NULL;242240665;NULL;NULL
NULL;NULL;242245576;NULL;NULL
NULL;NULL;250403009;NULL;NULL
NULL;NULL;3397006951;NULL;NULL
NULL;NULL;3397007297;NULL;NULL
NULL;NULL;3397007462;NULL;NULL
NULL;NULL;3397007467;NULL;NULL
NULL;NULL;3397007863;NULL;NULL
NULL;NULL;3397010300;NULL;NULL
NULL;NULL;3397118400;NULL;NULL
NULL;NULL;3397118911;NULL;NULL
NULL;NULL;3397118979;NULL;NULL
NULL;NULL;88358;NULL;NULL
NULL;NULL;986424523;NULL;NULL
NULL;NULL;986424794;NULL;NULL
NULL;NULL;986424797;NULL;NULL
NULL;NULL;986478979;NULL;NULL
NULL;NULL;986479058;NULL;NULL
NULL;NULL;986479173;NULL;NULL
NULL;NULL;986479397;NULL;NULL
NULL;NULL;986479621;NULL;NULL
NULL;NULL;986479753;NULL;NULL
NULL;NULL;986479768;NULL;NULL
NULL;NULL;986494032;NULL;NULL
NULL;NULL;986494169;NULL;NULL
NULL;NULL;986494213;NULL;NULL
NULL;NULL;986494246;NULL;NULL
NULL;NULL;986494305;NULL;NULL
NULL;NULL;986494528;NULL;NULL
NULL;NULL;986494596;NULL;NULL
NULL;NULL;986494641;NULL;NULL
NULL;NULL;F026400172;NULL;NULL
NULL;NULL;F026407023;NULL;NULL
NULL;NULL;VKBA3523;NULL;NULL
NULL;NULL;VKBA3584;NULL;NULL
NULL;NULL;VKBA3627;NULL;NULL
NULL;NULL;VKBA3632;NULL;NULL
NULL;NULL;VKBA3643;NULL;NULL
NULL;NULL;VKBA3644;NULL;NULL
NULL;NULL;VKBA3646;NULL;NULL
NULL;NULL;VKBA3656;NULL;NULL
NULL;NULL;VKBA6531;NULL;NULL
NULL;NULL;VKBA6543;NULL;NULL
NULL;NULL;VKBA6546;NULL;NULL
NULL;NULL;VKBA6556;NULL;NULL
NULL;NULL;VKBA6565;NULL;NULL
NULL;NULL;VKBA6602;NULL;NULL
NULL;NULL;VKBA6649;NULL;NULL
NULL;NULL;VKBA6831;NULL;NULL
NULL;NULL;VKBA6996;NULL;NULL
NULL;NULL;VKBA7414;NULL;NULL
NULL;NULL;VKBA7439;NULL;NULL
NULL;NULL;VKBD1011;NULL;NULL
NULL;NULL;VKBD1016;NULL;NULL
NULL;NULL;VKJA3028;NULL;NULL
NULL;NULL;VKJA5270;NULL;NULL
NULL;NULL;VKJC4591;NULL;NULL
NULL;NULL;VKJC4621;NULL;NULL
NULL;NULL;VKJC5755;NULL;NULL
NULL;NULL;VKJP01001;NULL;NULL
NULL;NULL;VKJP01003;NULL;NULL
NULL;NULL;VKMA06604;NULL;NULL
NULL;NULL;VKMA91920;NULL;NULL
NULL;NULL;VKMA95014;NULL;NULL
NULL;NULL;VKMA98109;NULL;NULL
NULL;NULL;VKMC01113-1;NULL;NULL
NULL;NULL;VKMC01121-1;NULL;NULL
NULL;NULL;VKMC01148-2;NULL;NULL
NULL;NULL;VKMC01222;NULL;NULL
NULL;NULL;VKMC01250-2;NULL;NULL
NULL;NULL;VKMC01263-1;NULL;NULL
NULL;NULL;VKMC01918-1;NULL;NULL
NULL;NULL;VKMC03205;NULL;NULL
NULL;NULL;VKMC03235;NULL;NULL
NULL;NULL;VKMC03247;NULL;NULL
NULL;NULL;VKMC03259;NULL;NULL
NULL;NULL;VKMC03316;NULL;NULL
NULL;NULL;VKMC05156-3;NULL;NULL
NULL;NULL;VKMC06038;NULL;NULL
NULL;NULL;VKMC06134-2;NULL;NULL
NULL;NULL;VKMC06220;NULL;NULL
NULL;NULL;VKMC06604;NULL;NULL
NULL;NULL;VKMV5PK1121;NULL;NULL
ABS;32009;32009;4672638;NULL
BUE;700444;700444;1543910;1910-109563
DAC;801502;801502;2897360;1540-164397
DUL;835070;835070;1002843;2370-3123
FEB;32009;32009;414975;1540-23088
GOO;578513;578513;3277976;1320-122425
GSP;835026;835026;1079400;1520-102442
GSP;835028;835028;1079401;1520-102443
GSP;834086;834086;1902146;1520-111535
GSP;835040;835040;1902258;1520-111589
MAP;32009;32009;901411;1560-5661
MIH;437454;437454;1605194;1320-110011
NIS;698806;698806;3030452;NULL
ORG;32009;32009;5174687;NULL
SVA;579751;579751;3467272;1320-123761
SWF;579751;579751;1525861;2380-103816
TRW;BHN963E;BHN963E;358972;1435-50193
TRW;BHN964E;BHN964E;358974;1435-50195
TRW;BHV926E;BHV926E;359696;1435-51316
TRW;BHS324;BHS324;362196;1435-50810
TRW;BHS325E;BHS325E;362418;1435-50813
TRW;BHS330;BHS330;362421;1435-50814
TRW;BHS331;BHS331;362461;1435-50816
TRW;BHN303;BHN303;364087;1435-49975
TRW;BHN304;BHN304;364089;1435-49977
TRW;BHN315;BHN315;364204;1435-49987
TRW;BHN316;BHN316;364332;1435-49989
TRW;BHN317;BHN317;364334;1435-49991
TRW;BHN318;BHN318;364335;1435-49992
TRW;BHN329E;BHN329E;364413;1435-50000
TRW;BHN330E;BHN330E;364415;1435-50002
TRW;BHS1030;BHS1030;367155;1435-50481
TRW;BHS1031;BHS1031;367157;1435-50483
TRW;BHN1146E;BHN1146E;368965;1435-49824
TRW;BHN1147E;BHN1147E;368966;1435-49825
TRW;BHX548E;BHX548E;370723;1435-51843
TRW;BHX603E;BHX603E;371001;1435-51879
TRW;BHX604E;BHX604E;371002;1435-51880
TRW;BHV927E;BHV927E;377424;1435-32537
TRW;DF4558;DF4558;678869;1420-61488
TRW;GDB1683;GDB1683;687991;1410-18616
TRW;JBJ721;JBJ721;1193242;1570-101364
TRW;BHT264;BHT264;2463632;1435-117399
TRW;BHT265;BHT265;2463634;1435-117401
TRW;DF4450;DF4450;2482678;1420-119604
TRW;DF4464S;DF4464S;2482689;1420-119615
TRW;DF4850S;DF4850S;2482805;1420-119730
TRW;DF6187;DF6187;2483037;1420-119953
TRW;DF6659;DF6659;2483243;1420-120157
TRW;DF6786;DF6786;2483292;1420-120206
TRW;DF7374;DF7374;2483331;1420-120244
TRW;GDB1330;GDB1330;2500029;1410-119458
TRW;GDB1685;GDB1685;2500409;1410-119829
TRW;GDB1814;GDB1814;2500549;1410-119964
TRW;GDB1956;GDB1956;2500649;1410-120062
TRW;GDB1957;GDB1957;2500650;1410-120063
TRW;GDB3494;GDB3494;2501222;1410-120595
TRW;GS8481;GS8481;2504119;1410-121175
TRW;JGM1030T;JGM1030T;2514987;1550-120087
TRW;JGM1113T;JGM1113T;2515170;1550-120158
TRW;JGM1133T;JGM1133T;2515208;1550-120171
TRW;JGM877T;JGM877T;2516048;1550-120485
TRW;JGT453T;JGT453T;2516874;1550-120894
TRW;JGT606T;JGT606T;2516987;1550-120951
TRW;PFB401;PFB401;2537448;2360-102327
TRW;PFC105;PFC105;2537465;2360-103488
VAL;826317;826317;387794;1640-35127
VAL;813140;813140;388480;1732-2190
VAL;814318;814318;388789;1731-2123
VAL;835153;835153;388979;1640-35556
VAL;699357;699357;389945;1732-1635
VAL;826729;826729;394093;1640-38090
VAL;826326;826326;395239;1640-37790
VAL;440411;440411;403746;2260-19850
VAL;746025;746025;406147;2260-20100
VAL;746032;746032;406152;2260-20103
VAL;715269;715269;409036;1740-4524
VAL;439487;439487;409437;2260-19370
VAL;698806;698806;409962;1740-4458
VAL;698809;698809;409965;1740-4461
VAL;698811;698811;410006;1740-4463
VAL;458291;458291;413708;2250-11089
VAL;437349;437349;415098;2260-18986
VAL;835070;835070;418627;1640-38725
VAL;835071;835071;419077;1640-38726
VAL;437538;437538;419386;2260-19142
VAL;437454;437454;422840;2260-19076
VAL;835159;835159;423772;1640-38769
VAL;835167;835167;423997;1640-38772
VAL;801502;801502;426272;1640-37393
VAL;836224;836224;426875;1640-38844
VAL;579601;579601;428331;2380-8995
VAL;579751;579751;428566;2380-9031
VAL;828792;828792;433560;1640-38514
VAL;832086;832086;433832;1640-38578
VAL;835026;835026;434297;1640-38692
VAL;835028;835028;434299;1640-38694
VAL;835035;835035;434302;1640-38697
VAL;835040;835040;434377;1640-38701
VAL;835050;835050;434561;1640-38709
VAL;700444;700444;435644;1260-20295
VAL;826712;826712;437357;1640-38076
VAL;826715;826715;441380;1640-38079
VAL;821449;821449;441508;1640-37686
VAL;579741;579741;678884;2380-9025
VAL;586506;586506;1379833;2020-101724
VAL;837397;837397;1382920;1640-106483
VAL;845148;845148;1382942;1640-106501
VAL;834086;834086;1563931;1640-107445
VAL;837321;837321;1564455;1640-107494
VAL;578513;578513;1641203;2380-101261
VAL;575008;575008;2774597;2380-106951
VAL;575009;575009;2774598;2380-106952
VAL;837018;837018;2837310;1640-117433
VEM;801502;801502;3628477;NULL
